Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-7y1f;checkpoint-fqea;Question Key;Response
11;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;education-quantised;6
12;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;psyKnowledge;Not at all
13;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;psyKnowledge-quantised;1
14;1590825017110;30/05/2020 07:50:17;1590825018295;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;comment;
15;1590825017110;30/05/2020 07:50:17;1590825018295;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;END QUESTIONNAIRE;46292
1;1590825008764;30/05/2020 07:50:08;1590825007173;2;30/05/2020 09:50:07;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1366x614;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1590825359916;30/05/2020 07:55:59;1590825358219;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;sex;female
3;1590825360025;30/05/2020 07:56:00;1590825358224;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;sex-quantised;2
4;1590825360025;30/05/2020 07:56:00;1590825358224;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;age;29
5;1590825360025;30/05/2020 07:56:00;1590825358224;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-2;Other (please specify)
6;1590825360025;30/05/2020 07:56:00;1590825358225;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-2-text;I am right handed but I have crossed hand-eye lateralit
7;1590825360025;30/05/2020 07:56:00;1590825358225;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-3;Spanish
8;1590825360025;30/05/2020 07:56:00;1590825358225;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;country;Spain
9;1590825360025;30/05/2020 07:56:00;1590825358226;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;education;Master degree
10;1590825360025;30/05/2020 07:56:00;1590825358226;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;education-quantised;6
11;1590825360025;30/05/2020 07:56:00;1590825358226;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;psyKnowledge;I've studied at least one of these disciplines (school or university)
12;1590825360025;30/05/2020 07:56:00;1590825358226;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;psyKnowledge-quantised;3
13;1590825360025;30/05/2020 07:56:00;1590825358226;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;comment;My brain kept telling me that L was even an A odd, I had some difficulties with that. It would have been helpful being able to choose the meaning of each letter.
14;1590825360025;30/05/2020 07:56:00;1590825358227;2;30/05/2020 09:55:58;18755;2;questionnaire-89vf;;5216383;5ece67ec48f99322ae6d5ca3;1473551;;complete;;5ed20a558af172179b6b5a7a;computer;Desktop or Laptop;Windows 7;Chrome 83.0.4103.61;1366x768;1349x663;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;END QUESTIONNAIRE;351054
1;1590825049030;30/05/2020 07:50:49;1590825039502;3;30/05/2020 10:50:39;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1292x912;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1590825081656;30/05/2020 07:51:21;1590825072165;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;sex;male
3;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;sex-quantised;1
4;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;age;
5;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;response-2;right-handed
6;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;response-2-quantised;1
7;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;response-2-text;
8;1590825081782;30/05/2020 07:51:21;1590825072167;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;response-3;
9;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;country;Estonia
10;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;education;Some university/higher education but no degree
11;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;education-quantised;4
12;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;psyKnowledge;Not at all
13;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;psyKnowledge-quantised;1
14;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;comment;
15;1590825081782;30/05/2020 07:51:21;1590825072168;3;30/05/2020 10:51:12;18755;2;questionnaire-89vf;;5216393;5c636850bad3560001c2749e;1473554;;complete;;5ed20a665f100516ab899483;computer;Desktop or Laptop;Windows 10;Chrome 77.0.3835.0;1920x1080;1905x918;after demographic;demographic;4;BRAC1_vertLL_1st300;after consent;after demographic;Task done;END QUESTIONNAIRE;32666
1;1590825251113;30/05/2020 07:54:11;1590825241996;1;30/05/2020 08:54:01;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1536x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1590825293586;30/05/2020 07:54:53;1590825284521;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;sex;female
3;1590825293649;30/05/2020 07:54:53;1590825284524;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;sex-quantised;2
4;1590825293649;30/05/2020 07:54:53;1590825284524;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;age;21
5;1590825293649;30/05/2020 07:54:53;1590825284525;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;response-2;right-handed
6;1590825293649;30/05/2020 07:54:53;1590825284525;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;response-2-quantised;1
7;1590825293649;30/05/2020 07:54:53;1590825284525;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;response-2-text;
8;1590825293649;30/05/2020 07:54:53;1590825284525;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;response-3;English
9;1590825293649;30/05/2020 07:54:53;1590825284525;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;country;Wales
10;1590825293649;30/05/2020 07:54:53;1590825284526;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;education;Some university/higher education but no degree
11;1590825293649;30/05/2020 07:54:53;1590825284526;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;education-quantised;4
12;1590825293649;30/05/2020 07:54:53;1590825284526;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;psyKnowledge;Some knowledge as amateur
13;1590825293649;30/05/2020 07:54:53;1590825284526;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;psyKnowledge-quantised;2
14;1590825293649;30/05/2020 07:54:53;1590825284527;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;comment;
15;1590825293649;30/05/2020 07:54:53;1590825284527;1;30/05/2020 08:54:44;18755;2;questionnaire-89vf;;5216414;5d3848f6b7bcbd000114235f;1473556;;complete;;5ed20a56e423c8052c3060a4;computer;Desktop or Laptop;Windows 8.1;Chrome 83.0.4103.61;1536x864;1519x734;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after demographic;Task done;END QUESTIONNAIRE;42531
1;1590825437675;30/05/2020 07:57:17;1590825435970;-5;30/05/2020 02:57:15;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1366x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1590825508015;30/05/2020 07:58:28;1590825506382;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;sex;female
3;1590825508235;30/05/2020 07:58:28;1590825506390;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;sex-quantised;2
4;1590825508235;30/05/2020 07:58:28;1590825506390;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;age;
5;1590825508235;30/05/2020 07:58:28;1590825506391;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;response-2;right-handed
6;1590825508235;30/05/2020 07:58:28;1590825506391;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;response-2-quantised;1
7;1590825508235;30/05/2020 07:58:28;1590825506392;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;response-2-text;
8;1590825508235;30/05/2020 07:58:28;1590825506392;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;response-3;English
9;1590825508235;30/05/2020 07:58:28;1590825506392;-5;30/05/2020 02:58:26;18755;2;questionnaire-89vf;;5216443;5e217a34e8ff3a469b5dfebc;1473562;;complete;;5ed20aa02433821708bad64a;computer;Desktop or Laptop;Windows 7;Chrome 63.0.3233.0;1366x768;1349x768;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after demographic;Task done;country;USA
