"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"Question.Key";"Response"
"11";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"12";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"13";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"14";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"comment";""
"15";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"54523"
"1";1593681396209;"02/07/2020 09:16:36";1593681397315;2;"02/07/2020 11:16:37";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1858x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593681413137;"02/07/2020 09:16:53";1593681414286;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"age";"21"
"5";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"response-3";"Polish"
"9";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"country";"Poland"
"10";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"education";"Some university/higher education but no degree"
"11";1593681413231;"02/07/2020 09:16:53";1593681414287;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"education-quantised";"4"
"12";1593681413231;"02/07/2020 09:16:53";1593681414288;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge";"Some knowledge as amateur"
"13";1593681413231;"02/07/2020 09:16:53";1593681414288;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"2"
"14";1593681413231;"02/07/2020 09:16:53";1593681414288;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"comment";""
"15";1593681413231;"02/07/2020 09:16:53";1593681414288;2;"02/07/2020 11:16:54";18619;2;"questionnaire-b579";NA;5865978;"5d1cc0603690a90017b7fde9";1651008;NA;"complete";NA;"5efd9e3415ba871ef4a4ef01";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1841x977";"demographics done";"demographic";4;"BRAC2_horiAL_1st0";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"16973"
"1";1593682609711;"02/07/2020 09:36:49";1593682609570;2;"02/07/2020 11:36:49";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1536x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593682643787;"02/07/2020 09:37:23";1593682643813;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593682644051;"02/07/2020 09:37:24";1593682643815;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593682644051;"02/07/2020 09:37:24";1593682643815;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"age";"24"
"5";1593682644051;"02/07/2020 09:37:24";1593682643815;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593682644051;"02/07/2020 09:37:24";1593682643815;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-3";"Polish"
"9";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"country";"Poland"
"10";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
"11";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"12";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Some knowledge as amateur"
"13";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"2"
"14";1593682644051;"02/07/2020 09:37:24";1593682643816;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"comment";""
"15";1593682644051;"02/07/2020 09:37:24";1593682643817;2;"02/07/2020 11:37:23";18619;2;"questionnaire-b579";NA;5866460;"5d47d84a4555540001a4ae83";1651005;NA;"complete";NA;"5efd9e34a4894e1eab733566";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"34247"
"1";1593682738070;"02/07/2020 09:38:58";1593682737972;1;"02/07/2020 10:38:57";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1536x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593682755337;"02/07/2020 09:39:15";1593682755289;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex";"female"
"3";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"2"
"4";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"age";"29"
"5";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-3";"English"
"9";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"country";"UK"
"10";1593682755447;"02/07/2020 09:39:15";1593682755291;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
"11";1593682755447;"02/07/2020 09:39:15";1593682755292;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"12";1593682755447;"02/07/2020 09:39:15";1593682755292;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"13";1593682755447;"02/07/2020 09:39:15";1593682755292;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"14";1593682755447;"02/07/2020 09:39:15";1593682755292;1;"02/07/2020 10:39:15";18619;2;"questionnaire-b579";NA;5866504;"55b770e3fdf99b0416ce53da";1651031;NA;"complete";NA;"5efd9e3447e6e500087f767b";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x754";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"comment";""
