"";"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"Question.Key";"Response"
"11";"11";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"3"
"12";"12";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"13";"13";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"14";"14";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"comment";""
"15";"15";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-3";"Italian"
"16";"1";1591193729794;"03/06/2020 14:15:29";1591193727593;2;"03/06/2020 16:15:27";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1920x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"17";"2";1591193800400;"03/06/2020 14:16:40";1591193797508;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"sex";"female"
"18";"3";1591193800494;"03/06/2020 14:16:40";1591193797511;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"sex-quantised";"2"
"19";"4";1591193800494;"03/06/2020 14:16:40";1591193797512;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"age";"18"
"20";"5";1591193800494;"03/06/2020 14:16:40";1591193797512;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"21";"6";1591193800494;"03/06/2020 14:16:40";1591193797512;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"22";"7";1591193800494;"03/06/2020 14:16:40";1591193797512;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"response-2-text";""
"23";"8";1591193800494;"03/06/2020 14:16:40";1591193797513;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"response-3";"Dutch"
"24";"9";1591193800494;"03/06/2020 14:16:40";1591193797513;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"country";"Netherlands"
"25";"10";1591193800494;"03/06/2020 14:16:40";1591193797513;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"education";"High school diploma"
"26";"11";1591193800494;"03/06/2020 14:16:40";1591193797513;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"education-quantised";"3"
"27";"12";1591193800494;"03/06/2020 14:16:40";1591193797513;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"28";"13";1591193800494;"03/06/2020 14:16:40";1591193797514;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"29";"14";1591193800494;"03/06/2020 14:16:40";1591193797514;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"comment";""
"30";"15";1591193800494;"03/06/2020 14:16:40";1591193797514;2;"03/06/2020 16:16:37";18619;2;"questionnaire-b579";NA;5290490;"5e53d2941b233d02960a0dde";1490396;NA;"complete";NA;"5ed7ab04b8c163256b41d9b4";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_horiLA_1st0";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"69921"
"31";"1";1591193776406;"03/06/2020 14:16:16";1591193768689;2;"03/06/2020 16:16:08";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1920x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"32";"2";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-3";"polish"
"33";"3";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"34";"4";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"age";"19"
"35";"5";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2";"left-handed"
"36";"6";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"2"
"37";"7";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"38";"8";1591193874357;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"39";"9";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"country";"Poland"
"40";"10";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"education";"High school diploma"
"41";"11";1591193874497;"03/06/2020 14:17:54";1591193866672;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"3"
"42";"12";1591193874497;"03/06/2020 14:17:54";1591193866673;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"43";"13";1591193874497;"03/06/2020 14:17:54";1591193866673;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"44";"14";1591193874497;"03/06/2020 14:17:54";1591193866673;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"comment";""
"45";"15";1591193874497;"03/06/2020 14:17:54";1591193866673;2;"03/06/2020 16:17:46";18619;2;"questionnaire-b579";NA;5290506;"5cd422b7e62009001b03f107";1490370;NA;"complete";NA;"5ed7aa4e9a8d5023bc87ef71";"computer";"Desktop or Laptop";"Windows 7";"Chrome 65.0.0.1617";"1920x1080";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"97984"
"46";"1";1591193777015;"03/06/2020 14:16:17";1591193778136;2;"03/06/2020 16:16:18";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1920x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"47";"2";1591193808664;"03/06/2020 14:16:48";1591193809853;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"sex";"female"
"48";"3";1591193808742;"03/06/2020 14:16:48";1591193809855;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"sex-quantised";"2"
"49";"4";1591193808742;"03/06/2020 14:16:48";1591193809856;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"age";""
"50";"5";1591193808742;"03/06/2020 14:16:48";1591193809856;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"51";"6";1591193808742;"03/06/2020 14:16:48";1591193809856;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"52";"7";1591193808742;"03/06/2020 14:16:48";1591193809856;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"response-2-text";""
"53";"8";1591193808742;"03/06/2020 14:16:48";1591193809856;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"response-3";"Dutch"
"54";"9";1591193808742;"03/06/2020 14:16:48";1591193809857;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"country";"The Netherlands"
"55";"10";1591193808742;"03/06/2020 14:16:48";1591193809857;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
"56";"11";1591193808742;"03/06/2020 14:16:48";1591193809857;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"57";"12";1591193808742;"03/06/2020 14:16:48";1591193809857;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"58";"13";1591193808742;"03/06/2020 14:16:48";1591193809858;2;"03/06/2020 16:16:49";18619;2;"questionnaire-b579";NA;5290507;"5e8eb537c6ec0916503f351b";1490379;NA;"complete";NA;"5ed7aacc95af08089614337f";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x937";"demographics done";"demographic";4;"BRAC2_vertLL_1st0";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
