"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R";"prolific";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;76;514,489999994112;"L";1;0;NA;"L";"blue";"black";"magnit";4;0;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;77;663,479999995616;"L";1;0;NA;"L";"blue";"black";"magnit";1;0;0;0;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;78;657,359999997425;"L";1;0;NA;"L";"red";"black";"magnit";4;0;0;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;79;574,955000003683;"A";1;0;NA;"A";"red";"black";"magnit";8;0;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;80;408,759999998438;"A";1;1;NA;"L";"blue";"black";"magnit";3;0;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;81;622,914999999921;"A";1;0;NA;"A";"red";"black";"magnit";8;0;0;1;1;1;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;82;514,875000000757;"L";1;0;NA;"L";"blue";"black";"parity";2;0;1;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;83;460,075000002689;"A";1;0;NA;"A";"blue";"black";"parity";7;0;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;84;1454,90499999869;"L";1;0;NA;"L";"blue";"black";"parity";4;0;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;85;1906,4800000051;"A";1;0;NA;"A";"red";"black";"parity";7;0;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;86;469,709999997576;"L";1;0;NA;"L";"blue";"black";"magnit";2;0;1;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;87;563,394999997399;"A";1;0;NA;"A";"red";"black";"magnit";6;0;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;88;500,045000000682;"A";1;1;NA;"L";"red";"black";"parity";4;0;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;89;518,570000000182;"L";1;1;NA;"A";"blue";"black";"parity";7;0;0;1;1;1;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;90;510,354999998526;"L";1;0;NA;"L";"red";"black";"magnit";4;0;1;1;1;1;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;91;1356,98000000411;"A";1;0;NA;"A";"red";"black";"parity";7;0;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;92;460,949999993318;"L";1;0;NA;"L";"red";"black";"magnit";4;0;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;93;835,800000000745;"L";1;0;NA;"L";"blue";"black";"parity";8;0;1;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;94;1753,1999999992;"A";1;0;NA;"A";"blue";"black";"parity";3;0;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;95;635,264999997162;"A";1;0;NA;"A";"red";"black";"parity";9;0;0;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;0;581,624999998894;"A";1;0;NA;"A";"blue";"black";"magnit";9;300;99;99;99;99;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;1;710,044999999809;"L";1;1;NA;"A";"red";"black";"parity";1;300;1;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;2;423,905000003288;"A";1;0;NA;"A";"red";"black";"magnit";9;300;1;0;0;1;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;3;778,200000000652;"L";1;0;NA;"L";"blue";"black";"parity";8;300;1;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;4;305,860000000393;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;5;605,539999996836;"L";1;0;NA;"L";"red";"black";"magnit";3;300;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;6;1170,95999999583;"A";1;0;NA;"A";"red";"black";"parity";7;300;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;7;560,86000000505;"A";1;0;NA;"A";"blue";"black";"magnit";8;300;1;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;8;785,105000002659;"L";1;0;NA;"L";"blue";"black";"parity";4;300;1;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;9;1134,28500000009;"A";1;0;NA;"A";"blue";"black";"parity";3;300;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;10;608,914999997069;"L";1;0;NA;"L";"red";"black";"parity";8;300;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;11;666,134999999485;"L";1;0;NA;"L";"red";"black";"parity";2;300;0;0;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;12;564,534999997704;"A";1;0;NA;"A";"blue";"black";"parity";3;300;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;13;421,60000000149;"A";1;0;NA;"A";"red";"black";"magnit";6;300;1;0;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;14;445,545000002312;"L";1;0;NA;"L";"red";"black";"magnit";2;300;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;15;570,570000003499;"A";1;0;NA;"A";"red";"black";"magnit";8;300;0;1;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;16;665,345000001253;"L";1;0;NA;"L";"blue";"black";"magnit";4;300;0;1;1;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";1;17;1071,58000000345;"L";1;0;NA;"L";"blue";"black";"parity";2;300;1;0;0;0;1;"23";"male";"Not at all";"Bachelor degree";"right-handed";"Hungary";"Hungary"
